,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,Unnamed: 0.1,Unnamed: 0,year,name,Temperature (C),Humidity,WindSpeed,TrackTemp,Rain,Temperature (F),Heat Index
0,23782,989,20,6,5,3,1,1,1,25.0,58,1:29:33.283,5373283,53,4,1:26.469,220.782,1,0,0,2018,Australian Grand Prix,24.077477477477483,30.91531531531532,3.691891891891892,36.32432432432432,True,75.33945945945948,Fine
1,23783,989,1,131,44,1,2,2,2,18.0,58,+5.036,5378319,50,3,1:26.444,220.845,1,0,0,2018,Australian Grand Prix,24.077477477477483,30.91531531531532,3.691891891891892,36.32432432432432,True,75.33945945945948,Fine
2,23784,989,8,6,7,2,3,3,3,15.0,58,+6.309,5379592,57,2,1:26.373,221.027,1,0,0,2018,Australian Grand Prix,24.077477477477483,30.91531531531532,3.691891891891892,36.32432432432432,True,75.33945945945948,Fine
3,23785,989,817,9,3,8,4,4,4,12.0,58,+7.069,5380352,54,1,1:25.945,222.128,1,0,0,2018,Australian Grand Prix,24.077477477477483,30.91531531531532,3.691891891891892,36.32432432432432,True,75.33945945945948,Fine
4,23786,989,4,1,14,10,5,5,5,10.0,58,+27.886,5401169,57,7,1:26.978,219.489,1,0,0,2018,Australian Grand Prix,24.077477477477483,30.91531531531532,3.691891891891892,36.32432432432432,True,75.33945945945948,Fine
5,23787,989,830,9,33,4,6,6,6,8.0,58,+28.945,5402228,54,5,1:26.880,219.737,1,0,0,2018,Australian Grand Prix,24.077477477477483,30.91531531531532,3.691891891891892,36.32432432432432,True,75.33945945945948,Fine
6,23788,989,807,4,27,7,7,7,7,6.0,58,+32.671,5405954,57,9,1:27.081,219.230,1,0,0,2018,Australian Grand Prix,24.077477477477483,30.91531531531532,3.691891891891892,36.32432432432432,True,75.33945945945948,Fine
7,23789,989,822,131,77,15,8,8,8,4.0,58,+34.339,5407622,54,8,1:27.019,219.386,1,0,0,2018,Australian Grand Prix,24.077477477477483,30.91531531531532,3.691891891891892,36.32432432432432,True,75.33945945945948,Fine
8,23790,989,838,1,2,11,9,9,9,2.0,58,+34.921,5408204,57,6,1:26.958,219.540,1,0,0,2018,Australian Grand Prix,24.077477477477483,30.91531531531532,3.691891891891892,36.32432432432432,True,75.33945945945948,Fine
9,23791,989,832,4,55,9,10,10,10,1.0,58,+45.722,5419005,51,12,1:27.944,217.079,1,0,0,2018,Australian Grand Prix,24.077477477477483,30.91531531531532,3.691891891891892,36.32432432432432,True,75.33945945945948,Fine
